name,type
.eslintignore,file
.eslintrc.js,file
.eslintrc.json,file
.git-blame-ignore-revs,file
.github,dir
.gitignore,file
.gitkeep,file
.gitpod.yml,file
.pre-commit-config.yaml,file
.prettierignore,file
.prettierrc,file
.readthedocs.yaml,file
.yarnrc.yml,file
CHANGELOG.md,file
CONTRIBUTING.md,file
Connecting with the Qt Console.ipynb,file
Custom Keyboard Shortcuts.ipynb,file
FrontendKernel.graffle,dir
FrontendKernel.png,file
ISSUE_TEMPLATE,dir
Importing Notebooks.ipynb,file
Info.plist.example,file
LICENSE,file
Makefile,file
Notebook,dir
Notebook Basics.ipynb,file
README.md,file
RELEASE.md,file
Running Code.ipynb,file
Typesetting Equations.ipynb,file
What is the Jupyter Notebook.ipynb,file
Working With Markdown Cells.ipynb,file
__init__.py,file
__main__.py,file
_metapackage,dir
_static,dir
_version.py,file
action.yml,file
actions,dir
animation.m4v,file
answered.yml,file
app,dir
app.py,file
app.ts,file
application,dir
application-extension,dir
auto_author_assign.yml,file
autoscroll.ipynb,file
babel.config.js,file
base.css,file
binder,dir
binder.yml,file
bug_report.md,file
build-dist,dir
build.yml,file
buildutils,dir
buildutils.yml,file
cell-tags-toolbar.png,file
cell-toolbar-41.png,file
check-release.yml,file
checkpoints.json,file
command-palette-41.png,file
command_mode.png,file
conf.py,file
config.yml,file
config_overview.md,file
configuration.md,file
configuring,dir
conftest.py,file
console-extension,dir
consoles_template.html,file
contributor.md,file
custom,dir
custom-themes.md,file
custom.css,file
custom_css.md,file
dashboard-sort.png,file
dashboard_files_tab.png,file
dashboard_files_tab_btns.png,file
dashboard_files_tab_new.png,file
dashboard_files_tab_run.png,file
dashboard_running_tab.png,file
data.plist,file
debugger-chromium-linux.png,file
debugger-firefox-linux.png,file
dependabot.yml,file
develop.ts,file
development_faq.md,file
docmanager-extension,dir
docs,dir
documentsearch-extension,dir
edit-notebook-metadata.json,file
edit_mode.png,file
edit_template.html,file
editor.spec.ts,file
empty.ipynb,file
enforce-label.yml,file
ensure-repo.ts,file
environment.yml,file
error_template.html,file
example.ipynb,file
examples,dir
examples_index.rst,file
extending,dir
feature_request.md,file
file-actions.json,file
fileactions.tsx,file
filebrowser.spec.ts,file
find-replace-41.png,file
fixtures.ts,file
foo.spec.ts,file
frontend-extensions.md,file
frontend_extensions.md,file
full-width-notebook.json,file
general.spec.ts,file
general.spec.ts-snapshots,dir
generate_icons.sh,file
get-latest-lab-version.ts,file
help-extension,dir
icon,dir
icon_1024x1024.png,file
icon_128x128.png,file
icon_128x128@2x.png,file
icon_16x16.png,file
icon_16x16.svg,file
icon_16x16@2x.png,file
icon_24x24.png,file
icon_24x24.svg,file
icon_24x24@2x.png,file
icon_256x256.png,file
icon_256x256@2x.png,file
icon_32x32.png,file
icon_32x32.svg,file
icon_32x32@2x.png,file
icon_48x48.png,file
icon_512x512.png,file
icon_512x512.svg,file
icon_512x512@2x.png,file
icon_64x64.png,file
icon_64x64@2x.png,file
iconimports.ts,file
icons,dir
image1.png,file
images,dir
index.css,file
index.js,file
index.md,file
index.template.js,file
index.ts,file
index.tsx,file
interface-switcher.json,file
interface_customization.md,file
ipynb.icns,file
ipynb.iconset,dir
ipython_logo.png,file
ipython_security.asc,file
jest.config.js,file
jsdoc_config.json,file
jsdoc_plugin.js,file
jupyter-config,dir
jupyter-notebook.desktop,file
jupyter.svg,file
jupyter_config.json,file
jupyter_logo.png,file
jupyter_logo.svg,file
jupyter_server_config.d,dir
jupyter_server_config.py,file
jupyterlab-probot.yml,file
kernel-logo.json,file
lab-extension,dir
launch-tree.json,file
layout.spec.ts,file
layout.spec.ts-snapshots,dir
lerna.json,file
links.spec.ts,file
links.txt,file
list_pyfiles.ipy,file
list_subdirs.ipy,file
local_links.ipynb,file
lock.yml,file
logo-rectangle-dark.svg,file
logo-rectangle.svg,file
make.bat,file
menubar_toolbar.png,file
menus.json,file
menus.spec.ts,file
menus.spec.ts-snapshots,dir
